Master ID,Item ID,Parent ID,Menu Name,Menu Group,Subgroup,Menu Item,Tags,Avg Price,Item Qty (incl voids),% of Ttl Qty (incl voids),Gross Amount (incl voids),% of Ttl Amt (incl voids),Item Qty,Gross Amount,Void Qty,Void Amount,Discount Amount,Net Amount,# Orders,% of Ttl # Orders,% Qty (Group),% Qty (Menu),% Qty (All),% Net Amt (Group),% Net Amt (Menu),% Net Amt (All)
,,,ALL MENUS,,,,,6.894880715705765,1006.0,0.0,6936.25,0.0,1005.0,6923.26,1.0,12.99,113.38,6809.88,372,0,0,0,0,0,0,0
,,,BREAKFAST,,,,,14.176774193548388,31.0,0.030815109343936383,439.48,0.06335988466390341,31.0,439.48,0.0,0.00,10.54,428.94,23,0.06182795698924731,0,0,0.030845771144278607,0,0,0.06298789405980722
100000005573120702,100000005573120701,,BREAKFAST,BREAKFAST,,,,14.18,31.0,1.0,439.48,1.0,31.0,439.48,0.0,0.00,10.54,428.94,23,1.0,0,1.0,0.030845771144278607,0,1.0,0.06298789405980722
100000023958153315,100000023958153314,100000005573120702,BREAKFAST,BREAKFAST,,Eggs Benedict w/ Avocado,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
100000005573121421,100000005573121420,100000005573120702,BREAKFAST,BREAKFAST,,Eggs Benedict w/ Salmon,,17.99,2.0,0.06451612903225806,35.98,0.08186948211522707,2.0,35.98,0.0,0.00,0.00,35.98,2,0.08695652173913043,0.06451612903225806,0.06451612903225806,0.001990049751243781,0.08388119550519886,0.08388119550519886,0.005283499856091443
100000005573121419,100000005573121418,100000005573120702,BREAKFAST,BREAKFAST,,Eggs Benedict w/ Paris Ham,,16.99,2.0,0.06451612903225806,33.98,0.07731864931282424,2.0,33.98,0.0,0.00,0.00,33.98,1,0.043478260869565216,0.06451612903225806,0.06451612903225806,0.001990049751243781,0.07921853872336457,0.07921853872336457,0.004989808924680024
100000005573121423,100000005573121422,100000005573120702,BREAKFAST,BREAKFAST,,Eggs Benedict w/ Spinach,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
100000005573121427,100000005573121426,100000005573120702,BREAKFAST,BREAKFAST,,Omelette,,15.55076923076923,13.0,0.41935483870967744,202.16,0.459998179666879,13.0,202.16,0.0,0.00,3.58,198.58,11,0.4782608695652174,0.41935483870967744,0.41935483870967744,0.012935323383084577,0.4629551918683266,0.4629551918683266,0.02916057257983988
100000005573121429,100000005573121428,100000005573120702,BREAKFAST,BREAKFAST,,Egg White Omelette,,14.99,1.0,0.03225806451612903,14.99,0.034108491854009285,1.0,14.99,0.0,0.00,3.60,11.39,1,0.043478260869565216,0.03225806451612903,0.03225806451612903,9.950248756218905E-4,0.02655383037254628,0.02655383037254628,0.0016725698543880363
100000012030911148,100000012030911147,100000005573120702,BREAKFAST,BREAKFAST,,Egg White Omelette Vegetarian,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
100000012030810797,100000012030810796,100000005573120702,BREAKFAST,BREAKFAST,,Vegetarian Omelette,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
100000005573121431,100000005573121430,100000005573120702,BREAKFAST,BREAKFAST,,Scrambled Eggs,,14.99,2.0,0.06451612903225806,29.98,0.06821698370801857,2.0,29.98,0.0,0.00,0.00,29.98,2,0.08695652173913043,0.06451612903225806,0.06451612903225806,0.001990049751243781,0.069893225159696,0.069893225159696,0.004402427061857184
100000005573121425,100000005573121424,100000005573120702,BREAKFAST,BREAKFAST,,Fried Eggs,,13.99,2.0,0.06451612903225806,27.98,0.06366615090561573,2.0,27.98,0.0,0.00,1.29,26.69,2,0.08695652173913043,0.06451612903225806,0.06451612903225806,0.001990049751243781,0.06222315475357859,0.06222315475357859,0.003919305479685399
100000018689836918,100000018689836917,100000005573120702,BREAKFAST,BREAKFAST,,Custom Croissant - Made Your Way !,,11.24,2.0,0.06451612903225806,22.48,0.051151360699007914,2.0,22.48,0.0,0.00,0.00,22.48,2,0.08695652173913043,0.06451612903225806,0.06451612903225806,0.001990049751243781,0.052408262227817415,0.052408262227817415,0.0033010860690643597
100000005573121411,100000005573121410,100000005573120702,BREAKFAST,BREAKFAST,,Ham & Cheese Croissant,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
100000005573121417,100000005573121416,100000005573120702,BREAKFAST,BREAKFAST,,"Ham, Egg & Cheese Croissant",,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
100000031526346544,100000031526346543,100000005573120702,BREAKFAST,BREAKFAST,,"Sausage,  Egg & Cheese Waffle Sandwich",,12.99,1.0,0.03225806451612903,12.99,0.029557659051606445,1.0,12.99,0.0,0.00,0.00,12.99,1,0.043478260869565216,0.03225806451612903,0.03225806451612903,9.950248756218905E-4,0.03028395579801371,0.03028395579801371,0.001907522599517172
100000030796419457,100000030796419456,100000005573120702,BREAKFAST,BREAKFAST,,Bacon & Egg Waffle Sandwich,,12.99,1.0,0.03225806451612903,12.99,0.029557659051606445,1.0,12.99,0.0,0.00,0.00,12.99,1,0.043478260869565216,0.03225806451612903,0.03225806451612903,9.950248756218905E-4,0.03028395579801371,0.03028395579801371,0.001907522599517172
100000022939653530,100000022939653529,100000005573120702,BREAKFAST,BREAKFAST,,Scrambled Egg & Cheese Croissant,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
100000005573121413,100000005573121412,100000005573120702,BREAKFAST,BREAKFAST,,"Sausage, Egg & Cheese Croissant",,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
100000005573121415,100000005573121414,100000005573120702,BREAKFAST,BREAKFAST,,Salmon & Egg Croissant,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
100000022066304268,100000022066304267,100000005573120702,BREAKFAST,BREAKFAST,,Side of Sausage,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
100000005573121403,100000005573121402,100000005573120702,BREAKFAST,BREAKFAST,,Side of Bacon,,3.99,1.0,0.03225806451612903,3.99,0.009078911440793666,1.0,3.99,0.0,0.00,0.37,3.62,1,0.043478260869565216,0.03225806451612903,0.03225806451612903,9.950248756218905E-4,0.008439408775120064,0.008439408775120064,5.3158058585467E-4
100000005573121356,100000005573121355,100000005573120702,BREAKFAST,BREAKFAST,,1/2 Flute with Jam,,7.99,2.0,0.06451612903225806,15.98,0.03636115409119869,2.0,15.98,0.0,0.00,0.40,15.58,2,0.08695652173913043,0.06451612903225806,0.06451612903225806,0.001990049751243781,0.03632209633048911,0.03632209633048911,0.002287852355694961
100000029682883779,100000029682883778,100000005573120702,BREAKFAST,BREAKFAST,,Kids Waffle & Fruit w syrup,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
100000030796419459,100000030796419458,100000005573120702,BREAKFAST,BREAKFAST,,Waffle & Eggs,,12.99,2.0,0.06451612903225806,25.98,0.05911531810321289,2.0,25.98,0.0,0.00,1.30,24.68,2,0.08695652173913043,0.06451612903225806,0.06451612903225806,0.001990049751243781,0.05753718468783513,0.05753718468783513,0.003624146093616921
100000030796420027,100000030796420026,100000005573120702,BREAKFAST,BREAKFAST,,Side of Waffles,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
100000043560060099,100000043560060098,100000005573120702,BREAKFAST,BREAKFAST,,Berry Chocolate Waffle,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
100000037242895486,100000037242895485,100000005573120702,BREAKFAST,BREAKFAST,,Yogurt Parfait Strawberry,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
,,,BAKERY,,,,,4.633185595567867,361.0,0.3588469184890656,1672.58,0.2411360605514507,361.0,1672.58,0.0,0.00,40.30,1632.28,169,0.4543010752688172,0,0,0.3592039800995025,0,0,0.2396929167621162
100000007358467355,100000007358467354,,BAKERY,CROISSANTS..,,,,5.49,216.0,0.5983379501385041,1185.03,0.7085042270025949,216.0,1185.03,0.0,0.00,32.97,1152.06,129,0.7633136094674556,0,0.5983379501385041,0.21492537313432836,0,0.7057980248486779,0.1691747872209202
100000018689836918,100000018689836917,100000007358467355,BAKERY,CROISSANTS..,,Custom Croissant - Made Your Way !,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
