Master ID,Item ID,Parent ID,Menu Name,Menu Group,Subgroup,Menu Item,Tags,Avg Price,Item Qty (incl voids),% of Ttl Qty (incl voids),Gross Amount (incl voids),% of Ttl Amt (incl voids),Item Qty,Gross Amount,Void Qty,Void Amount,Discount Amount,Net Amount,# Orders,% of Ttl # Orders,% Qty (Group),% Qty (Menu),% Qty (All),% Net Amt (Group),% Net Amt (Menu),% Net Amt (All)
100000022939653530,100000022939653529,100000005573120702,BREAKFAST,BREAKFAST,,Scrambled Egg & Cheese Croissant,,8.99,2.0,0.058823529411764705,17.98,0.038611862732465745,2.0,17.98,0.0,0.00,0.00,17.98,2,0.06451612903225806,0.058823529411764705,0.058823529411764705,0.0015467904098994587,0.03877841521804771,0.03877841521804771,0.00205148567268877
100000005573121413,100000005573121412,100000005573120702,BREAKFAST,BREAKFAST,,"Sausage, Egg & Cheese Croissant",,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
100000005573121415,100000005573121414,100000005573120702,BREAKFAST,BREAKFAST,,Salmon & Egg Croissant,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
100000022066304268,100000022066304267,100000005573120702,BREAKFAST,BREAKFAST,,Side of Sausage,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
100000005573121403,100000005573121402,100000005573120702,BREAKFAST,BREAKFAST,,Side of Bacon,,3.99,2.0,0.058823529411764705,7.98,0.017136966885710606,2.0,7.98,0.0,0.00,0.20,7.78,2,0.06451612903225806,0.058823529411764705,0.058823529411764705,0.0015467904098994587,0.016779536729500066,0.016779536729500066,8.87684011875341E-4
100000005573121356,100000005573121355,100000005573120702,BREAKFAST,BREAKFAST,,1/2 Flute with Jam,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
100000029682883779,100000029682883778,100000005573120702,BREAKFAST,BREAKFAST,,Kids Waffle & Fruit w syrup,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
100000030796419459,100000030796419458,100000005573120702,BREAKFAST,BREAKFAST,,Waffle & Eggs,,13.99,2.0,0.058823529411764705,27.98,0.06008675857922089,2.0,27.98,0.0,0.00,0.00,27.98,2,0.06451612903225806,0.058823529411764705,0.058823529411764705,0.0015467904098994587,0.06034594314799637,0.06034594314799637,0.0031924676930940926
100000030796420027,100000030796420026,100000005573120702,BREAKFAST,BREAKFAST,,Side of Waffles,,3.99,1.0,0.029411764705882353,3.99,0.008568483442855303,1.0,3.99,0.0,0.00,0.20,3.79,1,0.03225806451612903,0.029411764705882353,0.029411764705882353,7.733952049497294E-4,0.008174093085450545,0.008174093085450545,4.3243218573361724E-4
100000043560060099,100000043560060098,100000005573120702,BREAKFAST,BREAKFAST,,Berry Chocolate Waffle,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
100000037242895486,100000037242895485,100000005573120702,BREAKFAST,BREAKFAST,,Yogurt Parfait Strawberry,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
,,,BAKERY,,,,,4.430208333333334,480.0,0.3695150115473441,2126.50,0.23898252893301297,476.0,2112.03,4.0,14.47,39.81,2072.22,215,0.49653579676674364,0,0,0.3681361175560712,0,0,0.23643657623243172
100000007358467355,100000007358467354,,BAKERY,CROISSANTS..,,,,5.52,264.0,0.55,1456.16,0.6847683987773336,262.0,1446.67,2.0,9.49,30.35,1416.32,142,0.6604651162790698,0,0.5504201680672269,0.2026295436968291,0,0.6834795533292798,0.16159956551404664
100000018689836918,100000018689836917,100000007358467355,BAKERY,CROISSANTS..,,Custom Croissant - Made Your Way !,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
100000029265823268,100000029265823267,100000007358467355,BAKERY,CROISSANTS..,,Croissant - Paul Original,,4.5,80.0,0.30303030303030304,360.00,0.24722557960663663,79.0,355.50,1.0,4.50,6.88,348.62,49,0.34507042253521125,0.3015267175572519,0.16596638655462184,0.06109822119102862,0.2461449389968369,0.1682350329598209,0.039776915195370355
100000045252210210,100000045252210209,100000007358467355,BAKERY,CROISSANTS..,,Crookie Croissant,,6.99,5.0,0.01893939393939394,34.95,0.02400148335347764,5.0,34.95,0.0,0.00,0.00,34.95,5,0.035211267605633804,0.019083969465648856,0.01050420168067227,0.0038669760247486465,0.02467662675101672,0.016865969829458264,0.003987732161316602
100000046774859317,100000046774859316,100000007358467355,BAKERY,CROISSANTS..,,Croissant - Pan Au Chocolate,,4.99,48.0,0.18181818181818182,239.52,0.1644874189649489,47.0,234.53,1.0,4.99,1.31,233.22,31,0.21830985915492956,0.17938931297709923,0.09873949579831932,0.03634957463263728,0.16466617713511073,0.11254596519674553,0.02660998267989293
100000005573121046,100000005573121045,100000007358467355,BAKERY,CROISSANTS..,,Croissant - Almond,,5.49,57.0,0.2159090909090909,312.93,0.2149008350730689,57.0,312.93,0.0,0.00,12.46,300.47,41,0.2887323943661972,0.21755725190839695,0.11974789915966387,0.04408352668213457,0.21214838454586538,0.14499908310893633,0.03428308676711873
100000005573121038,100000005573121037,100000007358467355,BAKERY,CROISSANTS..,,Croissant - Chocolate Almond,,5.99,29.0,0.10984848484848485,173.71,0.11929320953741347,29.0,173.71,0.0,0.00,1.42,172.29,23,0.1619718309859155,0.11068702290076336,0.06092436974789916,0.02242846094354215,0.12164623813827384,0.0831427165069346,0.0196579792295633
100000026068939816,100000026068939815,100000007358467355,BAKERY,CROISSANTS..,,Croissant - Strawberry Chantilly,,7.99,22.0,0.08333333333333333,175.78,0.12071475662015163,22.0,175.78,0.0,0.00,3.58,172.20,14,0.09859154929577464,0.08396946564885496,0.046218487394957986,0.017014694508894045,0.12158269317668323,0.08309928482497032,0.019647710391379653
100000005573121044,100000005573121043,100000007358467355,BAKERY,CROISSANTS..,,Pan Au Chocolate Coffee  Eclair,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
100000048065362824,100000048065362823,100000007358467355,BAKERY,CROISSANTS..,,Pan Au Chocolate Vanilla  Eclair,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
100000048065377456,100000048065377455,100000007358467355,BAKERY,CROISSANTS..,,Pan Au Chocolate Eclair,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
100000005573121036,100000005573121035,100000007358467355,BAKERY,CROISSANTS..,,Danish - Cheese,,6.99,22.0,0.08333333333333333,153.78,0.1056065267553016,22.0,153.78,0.0,0.00,4.70,149.08,21,0.14788732394366197,0.08396946564885496,0.046218487394957986,0.017014694508894045,0.10525869859918664,0.07194216830259337,0.01700975996020255
100000005573121378,100000005573121377,100000007358467355,BAKERY,CROISSANTS..,,Danish - Raisin,,5.49,1.0,0.003787878787878788,5.49,0.0037701900890012084,1.0,5.49,0.0,0.00,0.00,5.49,1,0.007042253521126761,0.003816793893129771,0.0021008403361344537,7.733952049497294E-4,0.003876242657026661,0.0026493325998204827,6.263991292025221E-4
100000036594337814,100000036594337813,100000007358467355,BAKERY,CROISSANTS..,,Dark Chocolate  Brioche Man,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
100000029682892299,100000029682892298,100000007358467355,BAKERY,CROISSANTS..,,Croissant Ruby Red Chocolate,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
100000007358467361,100000007358467360,,BAKERY,BAGUETTES,,,,4.99,9.0,0.01875,44.91,0.02111920996943334,9.0,44.91,0.0,0.00,0.00,44.91,7,0.03255813953488372,0,0.018907563025210083,0.0069605568445475635,0,0.021672409300170833,0.005124150253640303
100000005573121032,100000005573121031,100000007358467361,BAKERY,BAGUETTES,,Plain Baguette,,4.99,6.0,0.6666666666666666,29.94,0.6666666666666667,6.0,29.94,0.0,0.00,0.00,29.94,4,0.5714285714285714,0.6666666666666666,0.012605042016806723,0.004640371229698376,0.6666666666666667,0.014448272866780557,0.003416100169093536
100000005573121034,100000005573121033,100000007358467361,BAKERY,BAGUETTES,,Sesame Seed Baguette,,4.99,2.0,0.2222222222222222,9.98,0.22222222222222224,2.0,9.98,0.0,0.00,0.00,9.98,2,0.2857142857142857,0.2222222222222222,0.004201680672268907,0.0015467904098994587,0.22222222222222224,0.004816090955593519,0.0011387000563645119
100000007358492102,100000007358492101,100000007358467361,BAKERY,BAGUETTES,,Poppy Seed Baguette,,4.99,1.0,0.1111111111111111,4.99,0.11111111111111112,1.0,4.99,0.0,0.00,0.00,4.99,1,0.14285714285714285,0.1111111111111111,0.0021008403361344537,7.733952049497294E-4,0.11111111111111112,0.0024080454777967593,5.693500281822559E-4
100000031089804431,100000031089804430,,BAKERY,COOKIES AND BAKED SNACKS,,,,5.70,29.0,0.06041666666666667,165.21,0.07769104161768164,29.0,165.21,0.0,0.00,8.31,156.90,25,0.11627906976744186,0,0.06092436974789916,0.02242846094354215,0,0.0757158988910444,0.01790200790015951
