Master ID,Item ID,Parent ID,Menu Name,Menu Group,Subgroup,Menu Item,Tags,Avg Price,Item Qty (incl voids),% of Ttl Qty (incl voids),Gross Amount (incl voids),% of Ttl Amt (incl voids),Item Qty,Gross Amount,Void Qty,Void Amount,Discount Amount,Net Amount,# Orders,% of Ttl # Orders,% Qty (Group),% Qty (Menu),% Qty (All),% Net Amt (Group),% Net Amt (Menu),% Net Amt (All)
,,,ALL MENUS,,,,,7.058809523809524,1386.0,0.0,9783.51,0.0,1376.0,9703.80,10.0,79.71,134.03,9569.77,461,0,0,0,0,0,0,0
,,,BREAKFAST,,,,,14.049999999999999,43.0,0.031024531024531024,604.15,0.06175186615028757,43.0,604.15,0.0,0.00,6.38,597.77,30,0.0650759219088937,0,0,0.03125,0,0,0.06246440614560224
100000005573120702,100000005573120701,,BREAKFAST,BREAKFAST,,,,14.05,43.0,1.0,604.15,1.0,43.0,604.15,0.0,0.00,6.38,597.77,30,1.0,0,1.0,0.03125,0,1.0,0.06246440614560224
100000023958153315,100000023958153314,100000005573120702,BREAKFAST,BREAKFAST,,Eggs Benedict w/ Avocado,,17.99,1.0,0.023255813953488372,17.99,0.029777373168915003,1.0,17.99,0.0,0.00,0.00,17.99,1,0.03333333333333333,0.023255813953488372,0.023255813953488372,7.267441860465116E-4,0.03009518711209997,0.03009518711209997,0.0018798779907981066
100000005573121421,100000005573121420,100000005573120702,BREAKFAST,BREAKFAST,,Eggs Benedict w/ Salmon,,17.99,3.0,0.06976744186046512,53.97,0.08933211950674501,3.0,53.97,0.0,0.00,0.00,53.97,3,0.1,0.06976744186046512,0.06976744186046512,0.002180232558139535,0.09028556133629992,0.09028556133629992,0.00563963397239432
100000005573121419,100000005573121418,100000005573120702,BREAKFAST,BREAKFAST,,Eggs Benedict w/ Paris Ham,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
100000005573121423,100000005573121422,100000005573120702,BREAKFAST,BREAKFAST,,Eggs Benedict w/ Spinach,,15.99,1.0,0.023255813953488372,15.99,0.02646693701895225,1.0,15.99,0.0,0.00,0.00,15.99,1,0.03333333333333333,0.023255813953488372,0.023255813953488372,7.267441860465116E-4,0.02674941867273366,0.02674941867273366,0.0016708865521323918
100000005573121427,100000005573121426,100000005573120702,BREAKFAST,BREAKFAST,,Omelette,,16.336315789473684,19.0,0.4418604651162791,310.39,0.5137631382934702,19.0,310.39,0.0,0.00,1.01,309.38,17,0.5666666666666667,0.4418604651162791,0.4418604651162791,0.013808139534883721,0.5175569198855747,0.5175569198855747,0.03232888564719946
100000005573121429,100000005573121428,100000005573120702,BREAKFAST,BREAKFAST,,Egg White Omelette,,14.99,2.0,0.046511627906976744,29.98,0.04962343788794174,2.0,29.98,0.0,0.00,4.16,25.82,2,0.06666666666666667,0.046511627906976744,0.046511627906976744,0.0014534883720930232,0.043193870552219085,0.043193870552219085,0.002698079473174381
100000012030911148,100000012030911147,100000005573120702,BREAKFAST,BREAKFAST,,Egg White Omelette Vegetarian,,14.99,1.0,0.023255813953488372,14.99,0.02481171894397087,1.0,14.99,0.0,0.00,0.00,14.99,1,0.03333333333333333,0.023255813953488372,0.023255813953488372,7.267441860465116E-4,0.025076534453050504,0.025076534453050504,0.0015663908327995344
